location,genotype,repetition,farmers_eval,plant_number,total_harvest,perc_mark_fruits,mean_fruit_weight
Castronuovo,Local Molise,1,3.24,20,18.895,0,0.03571155
Castronuovo,Modern Open Pollinated,2,1.269230769,19,3.615,0,0.0005784
Castronuovo,Local Sestola,2,2.846153846,17,6.395,0,0.0044765
Castronuovo,Local Sestola,1,2.961538462,19,8.375,0,0.00644875
Castronuovo,Local Castronovo,1,2.115384615,20,8.826,7.081350555,0.00503082
Castronuovo,Castronuovo Random,2,1.576923077,19,6.565,11.27189642,0.00308555
Castronuovo,Molise Random,2,2.307692308,19,9.095,0,0.00518415
Castronuovo,Modern F1 Hybrid,1,3.56,20,14.235,10.15103618,0.014235
Castronuovo,Rotonda Farmer Selection,1,1.5,20,4.435,0,0.00137485
Castronuovo,Sestola Farmer Selection,2,1.423076923,20,3.165,0,0.00072795
Castronuovo,Local Rotonda,2,2.346153846,20,14.385,0,0.00561015
Castronuovo,Castronuovo Farmer Selection,1,1.8,20,5.5,10.81818182,0.001485
Castronuovo,Modern Open Pollinated,1,1.923076923,20,8.37,0,0.0021762
Castronuovo,Molise Farmer Selection,2,2.230769231,20,8.81,0,0.0044931
Castronuovo,Rotonda Random,2,1.807692308,19,4.965,0,0.0014895
Sestola,Molise Farmer Selection,1,3,16,16.443,38.88584808,0.01742958
Sestola,Rotonda Farmer Selection,1,2.285714286,15,13.771,35.21167671,0.01005283
Sestola,Castronuovo Random,2,2.857142857,16,14.435,41.42708694,0.01053755
Sestola,Molise Random,2,3.166666667,17,22.262,26.45314886,0.02582392
Sestola,Castronuovo Random,1,2,14,14.293,25.32708319,0.01200612
Sestola,Modern F1 Hybrid,1,2.833333333,19,16.356,32.92369773,0.01275768
Sestola,Rotonda Random,2,2.666666667,14,15.578,30.04236744,0.01230662
Sestola,Modern Open Pollinated,2,3,15,14.953,69.55794824,0.00628026
Sestola,Local Castronovo,1,2.833333333,15,19.156,23.33472541,0.02279564
Sestola,Local Rotonda,1,2,19,13.972,38.14772402,0.00964068
Sestola,Sestola Farmer Selection,2,2.142857143,17,15.299,48.05542846,0.01193322
Sestola,Local Sestola,2,3.166666667,15,22.718,85.26278722,0.03793906
Sestola,Local Molise,1,2.428571429,19,11.143,81.67459392,0.01794023
Sestola,Castronuovo Farmer Selection,1,2,15,9.739,22.28154841,0.00516167
Sestola,Sestola Random,2,2.142857143,18,13.843,27.66741313,0.00927481
Sestola,Local Rotonda,2,2.142857143,15,17.435,37.76885575,0.01865545
Sestola,Modern Open Pollinated,1,3.4,14,21.792,43.16262849,0.01656192
Sestola,Sestola Farmer Selection,1,2.428571429,15,13.152,38.16909976,0.00775968
Sestola,Rotonda Farmer Selection,2,2.714285714,13,15.637,28.17676025,0.01282234
Sestola,Local Molise,2,3,17,17.032,85.75622358,0.0281028
Sestola,Sestola Random,1,3.166666667,13,26.901,19.12940039,0.03658536
Sestola,Molise Random,1,2.428571429,13,14.469,25.56500104,0.0130221
Sestola,Local Castronovo,2,1.571428571,15,8.79,29.5221843,0.0048345
Sestola,Modern F1 Hybrid,2,2.285714286,16,15.961,16.16440073,0.01101309
Sestola,Local Sestola,1,2.857142857,19,23.887,75.73575585,0.04490756
Sestola,Rotonda Random,1,1.571428571,19,8.107,24.18897249,0.00389136
Sestola,Castronuovo Farmer Selection,2,2.714285714,17,11.611,14.03841185,0.00766326
Sestola,Molise Farmer Selection,2,3,14,9.647,32.1447082,0.00491997
