location,plot,rep,row,col,variety,farmers_eval,yield,yield_first,perc_mark_yield,mean_fruit_weight
Castronuovo,18,1,2,5,Var. K,2.12,441.3,152.25,7.08,5.03
Castronuovo,19,2,3,5,Var. C,1.58,345.53,145.53,11.27,3.09
Castronuovo,20,2,4,5,Var. A,2.31,478.68,198.16,0,5.18
Castronuovo,21,1,1,6,Var. N,3.56,711.75,319.25,10.15,14.24
Castronuovo,22,1,2,6,Var. F,1.5,221.75,67,0,1.37
Castronuovo,23,2,3,6,Var. H,1.42,158.25,53.75,0,0.73
Castronuovo,24,2,4,6,Var. J,2.35,719.25,390.5,0,5.61
Castronuovo,25,1,1,7,Var. G,1.8,275,172.5,10.82,1.49
Castronuovo,26,1,2,7,Var. M,1.92,418.5,205.75,0,2.18
Castronuovo,27,2,3,7,Var. E,2.23,440.5,122,0,4.49
Castronuovo,28,2,4,7,Var. B,1.81,261.32,126.05,0,1.49
Sestola,1,1,1,1,Var. E,3,1264.85,243.08,38.89,17.43
Sestola,2,1,2,1,Var. F,2.29,918.07,172,35.21,10.05
Sestola,3,2,3,1,Var. C,2.86,1110.38,237.31,41.43,10.54
Sestola,4,2,4,1,Var. A,3.17,1171.68,140.53,26.45,25.82
Sestola,5,1,1,2,Var. C,2,893.31,117.81,25.33,12.01
Sestola,6,1,2,2,Var. N,2.83,1168.29,309.29,32.92,12.76
Sestola,7,2,3,2,Var. B,2.67,1038.53,203,30.04,12.31
Sestola,8,2,4,2,Var. M,3,1150.23,118.85,69.56,6.28
Sestola,9,1,1,3,Var. K,2.83,1277.07,367.33,23.33,22.8
Sestola,10,1,2,3,Var. J,2,821.88,162.65,38.15,9.64
Sestola,11,2,3,3,Var. H,2.14,805.21,354.47,48.06,11.93
Sestola,12,2,4,3,Var. L,3.17,1195.68,257.89,85.26,37.94
Sestola,13,1,1,4,Var. I,2.43,655.47,234.71,81.67,17.94
Sestola,14,1,2,4,Var. G,2,695.64,239.29,22.28,5.16
Sestola,15,2,3,4,Var. D,2.14,988.79,198.21,27.67,9.27
Sestola,16,2,4,4,Var. J,2.14,1162.33,357.67,37.77,18.66
Sestola,17,1,1,5,Var. M,3.4,1556.57,233.57,43.16,16.56
Sestola,18,1,2,5,Var. H,2.43,876.8,257.33,38.17,7.76
Sestola,19,2,3,5,Var. F,2.71,868.72,218.06,28.18,12.82
Sestola,20,2,4,5,Var. I,3,1135.47,158.33,85.76,28.1
Sestola,21,1,1,6,Var. D,3.17,1582.41,303.53,19.13,36.59
Sestola,22,1,2,6,Var. A,2.43,761.53,123.16,25.57,13.02
Sestola,23,2,3,6,Var. K,1.57,549.38,246.56,29.52,4.83
Sestola,24,2,4,6,Var. N,2.29,840.05,218.68,16.16,11.01
Sestola,25,1,1,7,Var. L,2.86,1405.12,382.06,75.74,44.91
Sestola,26,1,2,7,Var. B,1.57,540.47,71.33,24.19,3.89
Sestola,27,2,3,7,Var. G,2.71,774.07,62.67,14.04,7.66
Sestola,28,2,4,7,Var. E,3,602.94,75.63,32.14,4.92
